position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
14,Customer Analytics,https://www.ambitionbox.com/overview/customer-analytics-overview,3.9,(105),IT Services & Consulting | Chennai +7 other locations,105,912,8,--,16,11,"Work Life Balance, Salary & Benefits, Company Culture",
15,Electrostar Electronics,https://www.ambitionbox.com/overview/electrostar-electronics-overview,3.8,(108),Noida +49 other locations,108,941,5,--,1,--,"Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Job Security"
16,Web Synergies,https://www.ambitionbox.com/overview/web-synergies-overview,3.0,(107),IT Services & Consulting | Hyderabad / Secunderabad +9 other locations,107,676,4,34,11,--,,"Promotions / Appraisal, Company Culture, Job Security"
17,TAM Media Research,https://www.ambitionbox.com/overview/tam-media-research-overview,3.9,(106),Analytics & KPO | Vadodara +11 other locations,106,364,4,3,17,--,"Company Culture, Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
18,Openview Technologies,https://www.ambitionbox.com/overview/openview-technologies-overview,3.3,(108),IT Services & Consulting | Pune +11 other locations,108,582,10,4,6,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
19,Archies,https://www.ambitionbox.com/overview/archies-overview,3.4,(106),Retail | New Delhi +24 other locations,106,545,2,--,9,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
20,Surya Hospital,https://www.ambitionbox.com/overview/surya-hospital-overview,3.6,(110),Healthcare | Mumbai +19 other locations,110,559,4,29,8,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
1,EMDAD LLC,https://www.ambitionbox.com/overview/emdad-overview,4.0,(107),Oil & Gas | Mumbai +12 other locations,107,294,11,--,14,1,"Company Culture, Work Life Balance, Work Satisfaction",
2,Msi Services,https://www.ambitionbox.com/overview/msi-services-overview,3.3,(106),IT Services & Consulting | Bangalore / Bengaluru +6 other locations,106,790,8,44,9,--,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
3,Smc Pneumatics India,https://www.ambitionbox.com/overview/smc-pneumatics-overview,4.2,(106),Industrial Machinery | Noida +15 other locations,106,539,5,--,17,--,"Job Security, Work Life Balance, Salary & Benefits","Work Satisfaction, Skill Development / Learning"
4,Rave Technologies,https://www.ambitionbox.com/overview/rave-technologies-overview,3.7,(106),IT Services & Consulting | Mumbai +4 other locations,106,801,4,--,20,--,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
5,Rkc Infrabuilt,https://www.ambitionbox.com/overview/rkc-infrabuilt-overview,3.4,(106),Engineering & Construction | Ahmedabad +13 other locations,106,478,14,3,6,--,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
6,Nissin Abc Logistics,https://www.ambitionbox.com/overview/nissin-abc-logistics-overview,4.2,(107),Logistics | Gurgaon / Gurugram +14 other locations,107,414,3,--,16,--,"Job Security, Work Life Balance, Company Culture",
7,SA Technologies,https://www.ambitionbox.com/overview/sa-technologies-overview,3.4,(108),IT Services & Consulting | Pune +8 other locations,108,941,13,--,6,--,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
8,Speed Engineering Solutions,https://www.ambitionbox.com/overview/speed-engineering-solutions-pvt-ltd-overview,3.5,(106),Engineering & Construction | Pune +3 other locations,106,511,12,129,5,32,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,BYLD Group,https://www.ambitionbox.com/overview/byld-group-overview,3.6,(105),Gurgaon / Gurugram +4 other locations,105,313,23,8,7,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
10,Aurore Life Sciences,https://www.ambitionbox.com/overview/aurore-life-sciences-pvt-ltd-overview,3.3,(111),Pharma | Hyderabad / Secunderabad +2 other locations,111,627,6,5,5,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
11,Bellfast Management,https://www.ambitionbox.com/overview/bellfast-management-overview,4.2,(106),Recruitment | Bangalore / Bengaluru +20 other locations,106,453,10,4,6,4,"Company Culture, Work Life Balance, Work Satisfaction",
12,OPTCL,https://www.ambitionbox.com/overview/odisha-power-transmission-corporation-overview,4.3,(107),Power | Bhubaneswar +20 other locations,107,204,7,--,10,--,"Job Security, Work Life Balance, Company Culture",
13,Anik Milk Products,https://www.ambitionbox.com/overview/anik-milk-products-overview,3.8,(108),Indore +22 other locations,108,342,12,1,7,--,Skill Development / Learning,"Promotions / Appraisal, Job Security"
14,Digitas,https://www.ambitionbox.com/overview/digitaslbi-overview,3.7,(107),Marketing & Advertising | Mumbai +10 other locations,107,856,5,--,10,--,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
15,Anvil Cables,https://www.ambitionbox.com/overview/anvil-cables-overview,4.4,(108),Semiconductors | Kolkata +20 other locations,108,430,5,--,15,2,"Company Culture, Work Life Balance, Work Satisfaction",
16,Rockman Group,https://www.ambitionbox.com/overview/rockman-group-overview,3.9,(108),Tirupati +16 other locations,108,463,5,--,2,--,"Skill Development / Learning, Job Security",Promotions / Appraisal
17,Kewaunee Labway,https://www.ambitionbox.com/overview/kewaunee-labway-india-overview,4.1,(106),Furniture & Furnishing | Bangalore / Bengaluru +9 other locations,106,589,3,--,15,--,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
18,Crimsoune Club,https://www.ambitionbox.com/overview/crimsoune-club-overview,4.1,(109),Fashion & Textile | New Delhi +28 other locations,109,374,5,--,5,--,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal
19,Artson Engineering,https://www.ambitionbox.com/overview/artson-engineering-overview,4.1,(106),Engineering & Construction | Hyderabad / Secunderabad +18 other locations,106,518,11,7,16,--,"Job Security, Work Satisfaction, Company Culture",Promotions / Appraisal
20,Superon Schweisstechnik India,https://www.ambitionbox.com/overview/superon-schweisstechnik-india-overview,4.1,(108),Electronics Manufacturing | Gurgaon / Gurugram +11 other locations,108,393,3,2,7,--,"Salary & Benefits, Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning"
1,Rathi Transpower,https://www.ambitionbox.com/overview/rathi-transpower-overview,3.9,(106),Industrial Machinery | Pune +5 other locations,106,508,2,--,10,1,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
2,Tata Motors Insurance Broking And Advisory Services,https://www.ambitionbox.com/overview/tata-motors-insurance-broking-and-advisory-service-overview,3.9,(106),Insurance | Mumbai +34 other locations,106,333,6,--,15,--,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
3,Tata Docomo,https://www.ambitionbox.com/overview/tata-docomo-overview,4.6,(106),Telecom | Hyderabad / Secunderabad +54 other locations,106,269,7,--,6,--,"Company Culture, Work Life Balance, Promotions / Appraisal",
4,Maven Wave Partners,https://www.ambitionbox.com/overview/maven-wave-partners-overview,4.1,(106),IT Services & Consulting | Gurgaon / Gurugram +4 other locations,106,502,11,18,31,--,"Work Life Balance, Skill Development / Learning, Company Culture",
5,Web Synergies,https://www.ambitionbox.com/overview/web-synergies-overview,3.0,(107),IT Services & Consulting | Hyderabad / Secunderabad +9 other locations,107,676,4,34,11,--,,"Promotions / Appraisal, Company Culture, Job Security"
6,Adaequare,https://www.ambitionbox.com/overview/adaequare-overview,3.9,(105),IT Services & Consulting | Hyderabad / Secunderabad +3 other locations,105,749,9,6,31,--,"Work Life Balance, Skill Development / Learning",
7,eSense Learning,https://www.ambitionbox.com/overview/esense-learning-pvt-overview,3.7,(106),EdTech | Mumbai +18 other locations,106,320,4,3,16,--,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
8,Idom,https://www.ambitionbox.com/overview/idom-overview,4.3,(109),Engineering & Construction | New Delhi +3 other locations,109,448,11,--,8,--,"Work Life Balance, Job Security, Company Culture",
9,Adnet Global,https://www.ambitionbox.com/overview/adnet-global-overview,2.9,(107),Animation & VFX | Mumbai +4 other locations,107,498,3,5,2,--,,"Promotions / Appraisal, Company Culture, Work Life Balance"
10,HH Global,https://www.ambitionbox.com/overview/hh-global-overview,4.0,(107),IT Services & Consulting | Mumbai +10 other locations,107,936,12,--,9,--,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
11,Marc Laboratories,https://www.ambitionbox.com/overview/marc-laboratories-overview,3.0,(106),Healthcare | Lucknow +19 other locations,106,358,4,2,11,--,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
12,ERA's Lucknow Medical College & Hospital,https://www.ambitionbox.com/overview/eras-lucknow-medical-college-hospital-overview,4.0,(110),Education & Training | Lucknow +2 other locations,110,467,8,5,8,--,"Work Life Balance, Job Security, Company Culture",
13,Victoria's Secret,https://www.ambitionbox.com/overview/victoria-s-secret-overview,4.1,(107),IT Services & Consulting | Bangalore / Bengaluru +6 other locations,107,866,12,--,9,2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
14,The Digital Group Infotech,https://www.ambitionbox.com/overview/the-digital-group-infotech-overview,3.5,(106),IT Services & Consulting | Pune +2 other locations,106,771,7,40,4,5,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Company Culture"
15,Princeware,https://www.ambitionbox.com/overview/princeware-overview,3.3,(106),Petrochemicals | Mumbai +20 other locations,106,488,3,--,6,--,,"Salary & Benefits, Company Culture, Promotions / Appraisal"
16,Surya Hospital,https://www.ambitionbox.com/overview/surya-hospital-overview,3.6,(110),Healthcare | Mumbai +19 other locations,110,559,4,29,8,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
17,TeamLease Staffing Solutions,https://www.ambitionbox.com/overview/teamlease-staffing-solutions-overview,3.5,(107),Internet | Bangalore / Bengaluru +29 other locations,107,968,7,2,16,--,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
