position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
6,Fresenius Kabi,https://www.ambitionbox.com/overview/fresenius-kabi-overview,4.1,(1.1k),Pharma | Pune +61 other locations,1.1k,4.4k,45,4,124,8,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
7,Rungta Mines,https://www.ambitionbox.com/overview/rungta-mines-ltd-dot-overview,4.0,(1.1k),Metals & Mining | Chaibasa +39 other locations,1.1k,4k,110,3,68,2,"Work Life Balance, Job Security, Salary & Benefits",
8,VMware Software,https://www.ambitionbox.com/overview/vmware-software-overview,4.4,(1.1k),Software Product | Bangalore / Bengaluru +18 other locations,1.1k,9.2k,145,27,142,--,"Salary & Benefits, Company Culture, Work Life Balance",
9,EbixCash Limited,https://www.ambitionbox.com/overview/ebix-software-india-pvt-dot-ltd-overview,4.0,(1.1k),Software Product | Noida +75 other locations,1.1k,5.1k,105,14,92,1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
10,Shriram Pistons & Rings,https://www.ambitionbox.com/overview/shriram-pistons-and-rings-ltd-overview,4.1,(1.1k),Auto Components | Ghaziabad +58 other locations,1.1k,4.3k,66,--,147,4,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
11,Mu Sigma,https://www.ambitionbox.com/overview/mu-sigma-overview,2.6,(1.1k),Analytics & KPO | Bangalore / Bengaluru +15 other locations,1.1k,6.5k,240,--,130,11,,"Work Life Balance, Job Security, Company Culture"
12,Zoho,https://www.ambitionbox.com/overview/zoho-overview,4.3,(1.1k),Software Product | Chennai +34 other locations,1.1k,7.6k,528,--,145,24,"Job Security, Company Culture, Work Life Balance",
13,INDIUM,https://www.ambitionbox.com/overview/indium-software-overview,4.0,(1.1k),IT Services & Consulting | Chennai +13 other locations,1.1k,5.8k,193,108,71,6,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
14,SHYAM METALICS AND ENERGY,https://www.ambitionbox.com/overview/shyam-metalics-and-energy-overview,3.6,(1.1k),Iron & Steel | Sambalpur +68 other locations,1.1k,3.7k,116,4,53,12,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
15,Automotive Manufacturers,https://www.ambitionbox.com/overview/automotive-manufacturers-overview,3.9,(1.1k),Automobile | Hyderabad / Secunderabad +137 other locations,1.1k,5.3k,87,50,81,2,,Promotions / Appraisal
16,Jet Airways,https://www.ambitionbox.com/overview/jet-airways-overview,4.6,(1.1k),Aviation | Mumbai +44 other locations,1.1k,2.2k,23,--,183,--,"Skill Development / Learning, Company Culture, Work Satisfaction",
17,ZF Steering Gear,https://www.ambitionbox.com/overview/zf-steering-gear-overview,3.7,(1.1k),Auto Components | Pune +26 other locations,1.1k,6.4k,50,1,106,3,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
18,RBL FinServe,https://www.ambitionbox.com/overview/rbl-finserve-overview,4.0,(1.1k),Financial Services | Mumbai +322 other locations,1.1k,2.9k,55,--,83,1,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
19,Godrej Consumer Products,https://www.ambitionbox.com/overview/godrej-consumer-products-overview,4.1,(1.1k),FMCG | Mumbai +132 other locations,1.1k,4.3k,51,--,131,5,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
20,More Supermarket,https://www.ambitionbox.com/overview/more-supermarket-overview,3.8,(1.1k),Retail | Bangalore / Bengaluru +146 other locations,1.1k,3.5k,76,4,63,--,,"Promotions / Appraisal, Work Satisfaction, Job Security"
1,The Jaypee Group,https://www.ambitionbox.com/overview/the-jaypee-group-overview,3.9,(1.1k),Engineering & Construction | Noida +101 other locations,1.1k,3.4k,46,3,116,1,Job Security,"Promotions / Appraisal, Salary & Benefits"
2,Qualcomm,https://www.ambitionbox.com/overview/qualcomm-overview,3.8,(1k),Semiconductors | Hyderabad / Secunderabad +17 other locations,1k,11.5k,269,380,160,2,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
3,DISH TV,https://www.ambitionbox.com/overview/dish-tv-overview,3.5,(1.1k),Broadcasting | Noida +146 other locations,1.1k,3.4k,64,9,105,1,,"Promotions / Appraisal, Job Security, Work Satisfaction"
4,T-Systems ICT India,https://www.ambitionbox.com/overview/t-systems-overview,3.8,(1.1k),IT Services & Consulting | Pune +15 other locations,1.1k,7.4k,95,8,104,2,Work Life Balance,Promotions / Appraisal
5,The Ramco Cements,https://www.ambitionbox.com/overview/the-ramco-cements-overview,4.2,(1k),Building Material | Chennai +103 other locations,1k,3.5k,61,--,103,2,"Job Security, Company Culture, Work Life Balance",
6,AIIMS,https://www.ambitionbox.com/overview/aiims-overview,4.1,(1.1k),Education & Training | New Delhi +63 other locations,1.1k,4.2k,57,--,71,19,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",Promotions / Appraisal
7,Wistron,https://www.ambitionbox.com/overview/wistron-overview,3.9,(1k),Electronics Manufacturing | Bangalore / Bengaluru +22 other locations,1k,5.2k,83,--,155,2,Job Security,"Promotions / Appraisal, Salary & Benefits"
8,Jakson Group,https://www.ambitionbox.com/overview/jakson-group-overview,4.2,(1.1k),Power | Noida +93 other locations,1.1k,3.5k,84,20,103,2,"Company Culture, Work Life Balance, Skill Development / Learning",
9,Pacific BPO,https://www.ambitionbox.com/overview/pacific-bpo-overview,3.4,(1.1k),Healthcare | Noida +22 other locations,1.1k,4.7k,88,19,80,8,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
10,CenturyPly,https://www.ambitionbox.com/overview/century-plyboards-overview,3.8,(1k),Furniture & Furnishing | Kolkata +122 other locations,1k,3.7k,74,12,62,11,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction"
11,Prodapt,https://www.ambitionbox.com/overview/prodapt-solutions-overview,3.5,(1.1k),IT Services & Consulting | Chennai +14 other locations,1.1k,8.4k,102,75,90,11,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
12,Fidelity Investments,https://www.ambitionbox.com/overview/fidelity-investments-overview,4.1,(1k),Financial Services | Bangalore / Bengaluru +19 other locations,1k,7.4k,112,--,197,--,"Company Culture, Work Life Balance, Job Security",
13,SBFC Finance,https://www.ambitionbox.com/overview/sbfc-overview,3.7,(1.1k),NBFC | Mumbai +183 other locations,1.1k,2.5k,65,29,53,5,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
14,Wind World,https://www.ambitionbox.com/overview/wind-world-overview,3.9,(1k),Power | Jaisalmer +76 other locations,1k,3.1k,78,5,124,--,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
15,Intertek,https://www.ambitionbox.com/overview/intertek-overview,3.7,(1.1k),Other | New Delhi +98 other locations,1.1k,3.7k,58,17,116,8,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
16,Baazar Retail Private Limited,https://www.ambitionbox.com/overview/baazar-kolkata-overview,4.6,(1k),Retail | Kolkata +97 other locations,1k,1.3k,73,1,25,12,"Company Culture, Work Life Balance, Work Satisfaction",
17,PNC Infratech,https://www.ambitionbox.com/overview/pnc-infratech-overview,3.8,(1k),Engineering & Construction | Agra +83 other locations,1k,3.3k,64,8,83,6,Job Security,Promotions / Appraisal
18,Ion Exchange India,https://www.ambitionbox.com/overview/ion-exchange-india-overview,3.8,(1.1k),Waste Management | Mumbai +104 other locations,1.1k,4.5k,75,24,95,5,Job Security,"Promotions / Appraisal, Salary & Benefits"
19,SYSKA LED Lights,https://www.ambitionbox.com/overview/syska-led-lights-overview,2.8,(1k),Consumer Electronics & Appliances | Pune +157 other locations,1k,2.5k,57,--,87,1,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
20,Citco,https://www.ambitionbox.com/overview/citco-overview,3.1,(1k),Management Consulting | Pune +12 other locations,1k,7k,147,71,64,--,,"Promotions / Appraisal, Company Culture, Work Life Balance"
1,Parexel International,https://www.ambitionbox.com/overview/parexel-international-overview,3.8,(1k),Clinical Research | Hyderabad / Secunderabad +22 other locations,1k,5.6k,78,6,132,4,"Company Culture, Job Security",Promotions / Appraisal
2,Klm Axiva Finvest,https://www.ambitionbox.com/overview/klm-axiva-finvest-overview,4.4,(1k),Financial Services | Bangalore / Bengaluru +154 other locations,1k,676,432,11,15,15,"Company Culture, Work Life Balance, Work Satisfaction",
3,Saipem,https://www.ambitionbox.com/overview/saipem-overview,4.1,(1k),Engineering & Construction | Chennai +44 other locations,1k,3k,47,4,154,19,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4,ICICI Prudential Mutual Fund,https://www.ambitionbox.com/overview/icici-prudential-asset-management-company-overview,3.8,(1k),Financial Services | Mumbai +154 other locations,1k,5.1k,72,--,88,--,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
5,ACG Worldwide,https://www.ambitionbox.com/overview/acg-worldwide-overview,4.0,(1k),Pharma | Mumbai +28 other locations,1k,3.6k,71,25,53,5,Job Security,Promotions / Appraisal
6,City Union Bank,https://www.ambitionbox.com/overview/city-union-bank-overview,3.2,(1k),Banking | Chennai +153 other locations,1k,4.9k,98,7,62,6,,"Company Culture, Work Life Balance, Promotions / Appraisal"
7,Thyrocare Technologies,https://www.ambitionbox.com/overview/thyrocare-technologies-overview,3.6,(1k),Healthcare | Mumbai +68 other locations,1k,4.1k,77,46,99,4,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
8,Aarvee Associates,https://www.ambitionbox.com/overview/aarvee-associates-overview,3.9,(1k),Engineering & Construction | Hyderabad / Secunderabad +151 other locations,1k,3.1k,80,2,106,2,Work Life Balance,Promotions / Appraisal
9,Grant Thornton,https://www.ambitionbox.com/overview/grant-thornton-overview,3.6,(1k),Bangalore / Bengaluru +54 other locations,1k,9.7k,107,40,90,--,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
10,Apex Group,https://www.ambitionbox.com/overview/apex-group-overview,2.7,(952),Financial Services | Bangalore / Bengaluru +26 other locations,952,6k,148,317,35,4,,"Promotions / Appraisal, Job Security, Company Culture"
11,OM Logistics,https://www.ambitionbox.com/overview/om-logistics-overview,4.0,(1k),New Delhi +115 other locations,1k,3.3k,72,13,106,1,"Job Security, Work Life Balance",Promotions / Appraisal
12,Kirloskar Oil Engines,https://www.ambitionbox.com/overview/kirloskar-oil-engines-overview,4.1,(1k),Industrial Machinery | Pune +100 other locations,1k,3.7k,53,12,107,1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
13,PharmEasy,https://www.ambitionbox.com/overview/pharmeasy-overview,3.7,(1k),Internet | Mumbai +62 other locations,1k,4.8k,84,27,96,13,,"Job Security, Promotions / Appraisal"
14,PayPal,https://www.ambitionbox.com/overview/paypal-overview,3.8,(1k),FinTech | Bangalore / Bengaluru +14 other locations,1k,7.9k,222,147,131,6,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security, Skill Development / Learning"
15,Astral Pipe,https://www.ambitionbox.com/overview/astral-pipe-overview,4.0,(1k),Building Material | Ahmedabad +121 other locations,1k,3.4k,72,48,39,3,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
16,Novo Nordisk,https://www.ambitionbox.com/overview/novo-nordisk-overview,4.0,(1k),Pharma | Bangalore / Bengaluru +66 other locations,1k,5.3k,85,101,137,10,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
17,Wonder Home Finance,https://www.ambitionbox.com/overview/wonder-home-finance-overview,4.7,(1k),Financial Services | Jaipur +112 other locations,1k,614,180,6,17,31,"Company Culture, Skill Development / Learning, Work Life Balance",
18,Centre for Development of Advanced Computing,https://www.ambitionbox.com/overview/centre-for-development-of-advanced-computing-overview,3.8,(1k),IT Services & Consulting | Pune +35 other locations,1k,5.9k,106,--,70,--,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Company Culture"
19,Intel,https://www.ambitionbox.com/overview/intel-overview,4.2,(1k),Semiconductors | Bangalore / Bengaluru +34 other locations,1k,7.9k,221,70,104,8,"Work Life Balance, Company Culture, Work Satisfaction",
20,Coca-Cola Company,https://www.ambitionbox.com/overview/coca-cola-company-overview,4.1,(999),Beverage | Bangalore / Bengaluru +183 other locations,999,3k,93,9,105,4,"Skill Development / Learning, Company Culture, Work Life Balance",
1,Aerial Telecom Solutions,https://www.ambitionbox.com/overview/aerial-telecom-solutions-overview,4.2,(1k),Telecom | Mohali +97 other locations,1k,2k,62,1,36,3,"Company Culture, Work Life Balance, Work Satisfaction",
2,Dassault Systemes,https://www.ambitionbox.com/overview/dassault-systemes-overview,3.9,(1k),Software Product | Pune +10 other locations,1k,6.1k,171,1,148,3,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
3,Bajaj Motors,https://www.ambitionbox.com/overview/bajaj-motors-overview,3.9,(1k),Automobile | Gurgaon / Gurugram +76 other locations,1k,3.3k,55,--,121,--,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
4,Jacobs Engineering Group,https://www.ambitionbox.com/overview/jacobs-engineering-group-overview,4.1,(993),Engineering & Construction | Mumbai +43 other locations,993,4.5k,75,5,101,1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
5,Rockman Industries,https://www.ambitionbox.com/overview/rockman-industries-overview,3.8,(1k),Auto Components | Haridwar +36 other locations,1k,3.7k,85,3,108,2,Skill Development / Learning,Promotions / Appraisal
6,Podar International School,https://www.ambitionbox.com/overview/podar-international-school-overview,4.2,(997),Education & Training | Mumbai +119 other locations,997,3k,68,--,123,8,"Job Security, Skill Development / Learning, Company Culture",
7,JK Lakshmi Cement,https://www.ambitionbox.com/overview/jk-lakshmi-cement-overview,3.9,(989),Building Material | New Delhi +133 other locations,989,3.4k,65,1,102,2,Work Life Balance,
8,Johnson Lifts,https://www.ambitionbox.com/overview/johnson-lifts-overview,3.9,(996),Chennai +70 other locations,996,3.4k,45,--,96,1,"Job Security, Work Life Balance",Promotions / Appraisal
9,Rashmi Metaliks,https://www.ambitionbox.com/overview/rashmi-metaliks-overview,3.4,(1k),Iron & Steel | Kharagpur +36 other locations,1k,4.1k,88,18,70,5,,"Company Culture, Promotions / Appraisal, Work Satisfaction"
10,Nielsen,https://www.ambitionbox.com/overview/nielsen-overview,3.7,(992),Analytics & KPO | Bangalore / Bengaluru +71 other locations,992,5.6k,131,1,133,6,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
11,Piaggio,https://www.ambitionbox.com/overview/piaggio-overview,3.5,(987),Automobile | Pune +74 other locations,987,3.7k,64,--,132,3,,"Promotions / Appraisal, Job Security, Salary & Benefits"
12,Salesforce,https://www.ambitionbox.com/overview/salesforce-overview,4.0,(985),Software Product | Hyderabad / Secunderabad +36 other locations,985,9.8k,233,64,131,18,"Salary & Benefits, Work Life Balance, Company Culture",
13,Orchids International School,https://www.ambitionbox.com/overview/orchids-international-school-overview,3.0,(997),Education & Training | Bangalore / Bengaluru +33 other locations,997,3.5k,99,4,56,--,,"Promotions / Appraisal, Company Culture, Job Security"
14,Colliers India,https://www.ambitionbox.com/overview/colliers-international-overview,3.9,(992),Real Estate | Bangalore / Bengaluru +42 other locations,992,4.3k,74,45,82,6,,Promotions / Appraisal
15,Edelweiss Life Insurance,https://www.ambitionbox.com/overview/edelweiss-tokio-life-insurance-overview,3.7,(987),Insurance | Mumbai +120 other locations,987,3.6k,50,65,95,2,,"Promotions / Appraisal, Work Satisfaction"
16,Dhoot Transmission,https://www.ambitionbox.com/overview/dhoot-transmission-overview,3.7,(989),Power | Aurangabad +38 other locations,989,3.8k,60,8,119,1,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
17,_VOIS,https://www.ambitionbox.com/overview/vodafone-intelligent-services-overview,3.9,(980),IT Services & Consulting | Pune +20 other locations,980,5.3k,152,58,20,16,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
18,Spencer's Retail,https://www.ambitionbox.com/overview/spencers-retail-overview,3.8,(977),Retail | Kolkata +59 other locations,977,2.8k,51,2,99,--,,"Promotions / Appraisal, Work Satisfaction"
19,Strides Pharma,https://www.ambitionbox.com/overview/strides-pharma-overview,3.9,(977),Pharma | Bangalore / Bengaluru +32 other locations,977,4k,63,--,151,9,Skill Development / Learning,"Job Security, Promotions / Appraisal"
20,Genius Consultants,https://www.ambitionbox.com/overview/genius-consultants-overview,3.7,(982),Kolkata +89 other locations,982,3.8k,63,1,78,--,,"Promotions / Appraisal, Salary & Benefits"
1,Adani Ports and SEZ,https://www.ambitionbox.com/overview/adani-ports-and-special-economic-zone-limited-ap-overview,3.8,(974),Ports & Shipping | Mundra +60 other locations,974,3.8k,65,--,145,7,,Promotions / Appraisal
2,Viraj Profiles,https://www.ambitionbox.com/overview/viraj-profiles-overview,3.8,(990),Iron & Steel | Mumbai +22 other locations,990,4.1k,81,6,160,--,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
3,MDIndia Health Insurance TPA,https://www.ambitionbox.com/overview/mdindia-health-insurance-tpapvtltd-overview,3.6,(981),Insurance | Pune +80 other locations,981,3.4k,60,60,91,3,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
4,Barbeque Nation,https://www.ambitionbox.com/overview/barbeque-nation-overview,3.9,(978),Hospitality | Bangalore / Bengaluru +76 other locations,978,2.5k,38,8,122,22,"Company Culture, Skill Development / Learning, Job Security",
5,Onward Technologies Inc,https://www.ambitionbox.com/overview/onward-technologies-inc-overview,3.0,(974),IT Services & Consulting | Pune +63 other locations,974,5.5k,80,6,49,16,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
6,GAIL,https://www.ambitionbox.com/overview/gail-overview,4.4,(966),Oil & Gas | New Delhi +98 other locations,966,3.1k,68,--,93,3,"Company Culture, Work Life Balance, Work Satisfaction",
7,Fusion Microfinance,https://www.ambitionbox.com/overview/fusion-microfinance-overview,4.1,(971),NBFC | New Delhi +256 other locations,971,2.4k,41,4,77,2,"Job Security, Company Culture, Work Life Balance",
8,Bharat Sanchar Nigam,https://www.ambitionbox.com/overview/bharat-sanchar-nigam-overview,4.0,(962),Telecom | Bangalore / Bengaluru +226 other locations,962,2.5k,41,--,105,3,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
9,JTEKT,https://www.ambitionbox.com/overview/jtekt-overview,4.1,(981),Auto Components | Gurgaon / Gurugram +25 other locations,981,3.9k,73,--,101,4,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
10,Hyundai Mobis,https://www.ambitionbox.com/overview/hyundai-mobis-overview,3.8,(958),Auto Components | Chennai +45 other locations,958,4.7k,67,4,150,6,"Job Security, Salary & Benefits",Promotions / Appraisal
11,Diageo,https://www.ambitionbox.com/overview/diageo-overview,4.0,(971),Beverage | Bangalore / Bengaluru +92 other locations,971,5.6k,72,49,111,2,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
12,Stanza Living,https://www.ambitionbox.com/overview/stanza-living-overview,3.0,(961),Internet | Bangalore / Bengaluru +33 other locations,961,3.3k,83,29,63,20,,"Job Security, Promotions / Appraisal, Company Culture"
13,Biocon Biologics,https://www.ambitionbox.com/overview/biocon-biologics-india-overview,3.6,(955),Biotechnology | Bangalore / Bengaluru +25 other locations,955,5.8k,97,1,366,14,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
14,HFCL Limited,https://www.ambitionbox.com/overview/hfcl-overview,3.9,(952),Telecom | Hyderabad / Secunderabad +106 other locations,952,3.7k,71,29,93,2,Work Life Balance,Promotions / Appraisal
15,Ahluwalia Contracts India,https://www.ambitionbox.com/overview/ahluwalia-contracts-india-ltd-overview,4.0,(967),Engineering & Construction | New Delhi +54 other locations,967,3k,57,17,73,2,"Job Security, Work Life Balance",
16,London Stock Exchange Group,https://www.ambitionbox.com/overview/london-stock-exchange-group-overview,3.9,(969),Financial Services | Bangalore / Bengaluru +11 other locations,969,8.9k,141,--,60,--,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
17,Birla Corporation,https://www.ambitionbox.com/overview/birla-corporation-overview,4.1,(951),Building Material | Kolkata +130 other locations,951,3.3k,63,1,91,2,"Work Life Balance, Job Security, Work Satisfaction",
18,Kalpataru Limited,https://www.ambitionbox.com/overview/kalpataru-limited-overview,4.1,(960),Real Estate | Mumbai +74 other locations,960,4k,134,16,89,2,"Job Security, Work Life Balance, Skill Development / Learning",
19,Innova Solutions,https://www.ambitionbox.com/overview/innova-solutions-overview,3.4,(960),IT Services & Consulting | Hyderabad / Secunderabad +31 other locations,960,6.8k,90,69,31,1,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
20,Syngenta,https://www.ambitionbox.com/overview/syngenta-overview,4.1,(958),Agriculture | Pune +154 other locations,958,3.3k,69,48,95,5,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
1,KIMS Hospital,https://www.ambitionbox.com/overview/kims-hospital-overview,4.0,(956),Hyderabad / Secunderabad +50 other locations,956,3.1k,41,--,82,3,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
2,Sahara India Pariwar,https://www.ambitionbox.com/overview/sahara-india-pariwar-overview,3.8,(952),Broadcasting | Lucknow +237 other locations,952,2.4k,27,--,109,5,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
3,Siemens Gamesa Renewable Power Private Limited,https://www.ambitionbox.com/overview/siemens-gamesa-renewable-energy-overview,4.1,(949),Power | Bangalore / Bengaluru +59 other locations,949,4.7k,55,83,111,4,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
4,Nexa,https://www.ambitionbox.com/overview/nexa-overview,4.0,(945),Automobile | New Delhi +196 other locations,945,2.4k,37,--,101,1,Skill Development / Learning,"Promotions / Appraisal, Job Security"
5,Imperial Auto Industries,https://www.ambitionbox.com/overview/imperial-auto-industries-overview,3.9,(950),Auto Components | Faridabad +35 other locations,950,4.3k,62,4,72,7,Job Security,"Promotions / Appraisal, Salary & Benefits"
6,Zf Rane Automotive,https://www.ambitionbox.com/overview/zf-rane-automotive-overview,4.0,(947),Auto Components | Chennai +47 other locations,947,3.7k,56,--,139,1,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
7,Power Grid Corporation of India,https://www.ambitionbox.com/overview/power-grid-corporation-of-india-overview,4.4,(939),Power | Gurgaon / Gurugram +212 other locations,939,1.9k,67,--,83,6,"Salary & Benefits, Company Culture, Work Life Balance",
8,Altisource,https://www.ambitionbox.com/overview/altisource-overview,3.6,(941),Real Estate | Bangalore / Bengaluru +10 other locations,941,4k,41,265,144,9,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
9,Kirloskar Brothers,https://www.ambitionbox.com/overview/kirloskar-brothers-overview,3.8,(940),Industrial Machinery | Pune +64 other locations,940,4k,77,11,110,11,Work Life Balance,"Promotions / Appraisal, Job Security"
10,DLF,https://www.ambitionbox.com/overview/dlf-overview,3.9,(940),Real Estate | Gurgaon / Gurugram +31 other locations,940,4k,85,--,75,7,Salary & Benefits,Promotions / Appraisal
11,Tube Investments of India,https://www.ambitionbox.com/overview/tube-investments-of-india-overview,3.9,(936),Engineering & Construction | Chennai +59 other locations,936,3.1k,51,21,62,16,"Job Security, Skill Development / Learning",Promotions / Appraisal
12,Muthoot Microfin,https://www.ambitionbox.com/overview/muthoot-microfin-overview,4.1,(955),NBFC | Kochi +290 other locations,955,2.3k,39,8,67,19,"Skill Development / Learning, Company Culture, Work Life Balance",
13,Zydus Wellness,https://www.ambitionbox.com/overview/zydus-wellness-overview,4.0,(944),FMCG | Ahmedabad +120 other locations,944,2.4k,79,20,81,9,"Salary & Benefits, Company Culture, Work Life Balance",
14,Willis Towers Watson,https://www.ambitionbox.com/overview/willis-towers-watson-overview,3.6,(1k),Management Consulting | Mumbai +16 other locations,1k,7k,101,--,117,--,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
15,1point1 Solutions,https://www.ambitionbox.com/overview/1point1-solutions-overview,3.4,(933),BPO | Bangalore / Bengaluru +17 other locations,933,3k,76,85,90,2,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
16,TKIL,https://www.ambitionbox.com/overview/thyssenkrupp-industries-india-overview,4.2,(933),Industrial Machinery | Pune +53 other locations,933,4.4k,63,--,97,4,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
17,Globant,https://www.ambitionbox.com/overview/globant-overview,3.7,(948),IT Services & Consulting | Pune +13 other locations,948,8.2k,179,74,108,9,"Work Life Balance, Company Culture",Promotions / Appraisal
18,Aptiv,https://www.ambitionbox.com/overview/aptiv-overview,3.5,(943),Auto Components | Bangalore / Bengaluru +24 other locations,943,6.9k,105,3,59,22,,"Promotions / Appraisal, Company Culture, Work Life Balance"
19,Sundaram Finance,https://www.ambitionbox.com/overview/sundaram-finance-overview,4.1,(930),NBFC | Chennai +230 other locations,930,2.7k,35,19,92,9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
20,Sri Chaitanya Educational Institutions,https://www.ambitionbox.com/overview/sri-chaitanya-educational-institutions-overview,3.8,(937),Education & Training | Hyderabad / Secunderabad +94 other locations,937,2.9k,41,2,70,9,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1,Ceasefire Industries,https://www.ambitionbox.com/overview/ceasefire-industries-overview,3.2,(932),Industrial Machinery | New Delhi +74 other locations,932,2.6k,102,8,79,--,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
2,TK Elevator,https://www.ambitionbox.com/overview/thyssenkrupp-elevator-overview,3.8,(926),Pune +72 other locations,926,3.9k,58,21,103,1,,"Promotions / Appraisal, Work Satisfaction"
3,Federal Bank,https://www.ambitionbox.com/overview/federal-bank-overview,3.8,(927),Banking | Mumbai +143 other locations,927,4.6k,110,--,74,--,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Skill Development / Learning"
4,CaratLane - A Tata Product,https://www.ambitionbox.com/overview/caratlane-trading-overview,4.2,(936),Jewellery | Chennai +72 other locations,936,2.5k,53,8,98,41,"Company Culture, Skill Development / Learning, Job Security",
5,Patra Corporation,https://www.ambitionbox.com/overview/patra-corporation-overview,3.7,(939),BPO | Visakhapatnam +19 other locations,939,4.2k,80,1,84,--,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
6,Episource,https://www.ambitionbox.com/overview/episource-overview,3.9,(928),IT Services & Consulting | Chennai +17 other locations,928,3.4k,224,2,84,2,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
7,Unicharm,https://www.ambitionbox.com/overview/unicharm-overview,4.1,(932),FMCG | Gurgaon / Gurugram +169 other locations,932,2.8k,58,2,112,--,"Salary & Benefits, Company Culture, Job Security",
8,HPCL-Mittal Energy Limited,https://www.ambitionbox.com/overview/hpcl-mittal-energy-ltd-overview,4.3,(929),Petrochemicals | Bathinda +28 other locations,929,4.2k,40,--,121,18,"Work Life Balance, Job Security, Salary & Benefits",
9,Mando Automotive,https://www.ambitionbox.com/overview/mando-automotive-overview,3.9,(922),Auto Components | Chennai +20 other locations,922,4.3k,52,--,133,1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
10,V2 Retail,https://www.ambitionbox.com/overview/v2-retail-overview,3.4,(929),Retail | New Delhi +106 other locations,929,2.4k,67,28,92,13,,"Job Security, Company Culture, Work Satisfaction"
11,CALIBEHR,https://www.ambitionbox.com/overview/calibehr-overview,4.0,(926),IT Services & Consulting | Mumbai +159 other locations,926,2.6k,61,10,64,2,"Company Culture, Skill Development / Learning",Promotions / Appraisal
12,iQor Global Services,https://www.ambitionbox.com/overview/iqor-global-services-overview,3.4,(921),BPO | Noida +50 other locations,921,2.4k,31,16,116,6,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
